Date,Value
1960-12-31,180671000
1961-12-31,183691000
1962-12-31,186538000
1963-12-31,189242000
1964-12-31,191889000
1965-12-31,194303000
1966-12-31,196560000
1967-12-31,198712000
1968-12-31,200706000
1969-12-31,202677000
1970-12-31,205052000
1971-12-31,207661000
1972-12-31,209896000
1973-12-31,211909000
1974-12-31,213854000
1975-12-31,215973000
1976-12-31,218035000
1977-12-31,220239000
1978-12-31,222585000
1979-12-31,225055000
1980-12-31,227225000
1981-12-31,229466000
1982-12-31,231664000
1983-12-31,233792000
1984-12-31,235825000
1985-12-31,237924000
1986-12-31,240133000
1987-12-31,242289000
1988-12-31,244499000
1989-12-31,246819000
1990-12-31,249623000
1991-12-31,252981000
1992-12-31,256514000
1993-12-31,259919000
1994-12-31,263126000
1995-12-31,266278000
1996-12-31,269394000
1997-12-31,272657000
1998-12-31,275854000
1999-12-31,279040000
2000-12-31,282162411
2001-12-31,284968955
2002-12-31,287625193
2003-12-31,290107933
2004-12-31,292805298
2005-12-31,295516599
2006-12-31,298379912
2007-12-31,301231207
2008-12-31,304093966
2009-12-31,306771529
2010-12-31,309347057
2011-12-31,311721632
2012-12-31,314112078
2013-12-31,316497531
2014-12-31,318857056
